User_ID,Age,Gender,Profession,Daily_Usage_Hours,Purpose,Sessions_Per_Day,Avg_Response_Rating,Productivity_Level
U100,35,Other,Student,2,Learning,2,5,Low
U101,44,Female,Teacher,5,Research,6,3,Medium
U102,23,Female,Teacher,5,Coding,6,5,High
U103,41,Female,Engineer,6,Writing,7,5,High
U104,47,Female,Engineer,5,Coding,5,5,High
U105,30,Female,Student,2,Coding,2,5,Low
U106,48,Female,Engineer,3,Coding,4,3,Medium
U107,41,Male,Engineer,3,Coding,4,3,Medium
U108,21,Other,Engineer,4,Research,4,3,Medium
U109,36,Female,Researcher,7,Writing,7,3,Medium
U110,34,Female,Student,1,Research,2,3,Low
U111,21,Male,Teacher,4,Learning,4,3,Medium
U112,44,Other,Teacher,5,Research,6,4,High
U113,45,Female,Student,1,Coding,3,3,Low
U114,34,Other,Student,2,Coding,2,5,Low
U115,22,Male,Student,4,Research,6,5,Medium
U116,48,Female,Student,2,Writing,4,4,Low
U117,47,Male,Teacher,4,Coding,5,3,Medium
U118,32,Other,Teacher,4,Coding,4,3,Medium
U119,28,Female,Engineer,6,Learning,7,5,High
U120,37,Other,Researcher,6,Research,7,3,Medium
U121,20,Female,Engineer,7,Writing,7,3,Medium
U122,32,Other,Student,3,Learning,3,4,Medium
U123,46,Female,Teacher,5,Research,5,4,High
U124,40,Female,Engineer,5,Learning,5,4,High
U125,44,Other,Researcher,6,Research,8,3,Medium
U126,47,Male,Engineer,5,Writing,5,4,High
U127,50,Male,Researcher,7,Learning,7,5,High
U128,41,Other,Researcher,7,Learning,7,4,High
U129,26,Female,Researcher,7,Learning,7,5,High
U130,33,Other,Teacher,4,Learning,6,4,Medium
U131,23,Male,Student,4,Learning,6,3,Medium
U132,49,Other,Engineer,7,Writing,8,4,High
U133,48,Male,Researcher,5,Research,5,5,High
U134,50,Other,Teacher,2,Writing,3,4,Low
U135,50,Female,Student,3,Writing,5,5,Medium
U136,49,Male,Researcher,7,Writing,8,5,High
U137,42,Female,Engineer,4,Coding,6,4,Medium
U138,32,Female,Student,3,Research,5,4,Medium
U139,42,Other,Teacher,5,Learning,5,5,High
U140,39,Male,Researcher,4,Research,4,5,Medium
U141,27,Female,Teacher,2,Research,3,4,Low
U142,43,Other,Student,3,Research,4,5,Medium
U143,49,Other,Student,1,Coding,3,5,Low
U144,36,Male,Student,4,Learning,6,5,Medium
U145,24,Female,Teacher,4,Learning,4,4,Medium
U146,21,Female,Engineer,5,Research,5,3,Medium
U147,44,Other,Teacher,3,Coding,3,5,Medium
U148,42,Other,Teacher,5,Coding,5,4,High
U149,34,Female,Engineer,3,Research,4,5,Medium
U150,28,Male,Researcher,6,Writing,8,4,High
U151,34,Female,Engineer,4,Research,5,3,Medium
U152,33,Female,Engineer,7,Writing,9,4,High
U153,19,Other,Researcher,6,Learning,8,5,High
U154,21,Other,Researcher,6,Coding,8,4,High
U155,32,Other,Teacher,4,Coding,6,3,Medium
U156,20,Female,Researcher,4,Writing,6,3,Medium
U157,23,Female,Engineer,6,Coding,6,3,Medium
U158,41,Other,Engineer,4,Writing,5,4,Medium
U159,39,Male,Researcher,4,Coding,4,5,Medium
U160,43,Other,Engineer,3,Research,3,4,Medium
U161,25,Female,Engineer,5,Research,7,4,High
U162,24,Other,Teacher,5,Learning,7,5,High
U163,38,Other,Teacher,2,Research,4,4,Low
U164,44,Male,Teacher,2,Learning,3,4,Low
U165,25,Male,Teacher,3,Research,4,4,Medium
U166,44,Other,Teacher,5,Learning,6,5,High
U167,44,Female,Student,3,Coding,4,4,Medium
U168,33,Female,Student,3,Writing,3,4,Medium
U169,35,Male,Student,4,Learning,6,3,Medium
U170,19,Male,Engineer,4,Coding,6,3,Medium
U171,22,Other,Teacher,3,Coding,4,3,Medium
U172,18,Female,Teacher,3,Writing,3,3,Medium
U173,19,Male,Student,3,Coding,5,4,Medium
U174,19,Male,Engineer,3,Coding,5,4,Medium
U175,25,Other,Student,4,Research,5,5,Medium
U176,24,Female,Teacher,2,Writing,3,5,Low
U177,19,Male,Researcher,7,Research,9,3,Medium
U178,49,Other,Researcher,4,Learning,5,5,Medium
U179,27,Male,Teacher,4,Writing,5,5,Medium
U180,36,Female,Researcher,4,Learning,6,5,Medium
U181,31,Female,Researcher,5,Research,6,4,High
U182,43,Female,Student,3,Research,4,5,Medium
U183,34,Female,Teacher,5,Learning,5,3,Medium
U184,23,Female,Student,3,Coding,5,3,Medium
U185,39,Other,Student,4,Writing,6,4,Medium
U186,21,Female,Engineer,5,Learning,7,5,High
U187,31,Male,Researcher,5,Learning,6,5,High
U188,41,Male,Engineer,7,Coding,8,5,High
U189,19,Other,Engineer,3,Coding,4,5,Medium
U190,37,Female,Engineer,3,Coding,3,5,Medium
U191,43,Male,Teacher,2,Learning,4,5,Low
U192,31,Female,Researcher,7,Writing,7,4,High
U193,37,Other,Engineer,7,Learning,7,3,Medium
U194,28,Other,Student,1,Writing,2,5,Low
U195,45,Female,Researcher,7,Writing,7,5,High
U196,25,Female,Researcher,4,Writing,6,5,Medium
U197,49,Other,Engineer,3,Coding,4,5,Medium
U198,21,Male,Teacher,4,Coding,4,4,Medium
U199,36,Female,Student,1,Research,3,4,Low
U200,29,Male,Researcher,5,Writing,5,4,High
U201,20,Female,Student,4,Learning,5,5,Medium
U202,45,Other,Researcher,7,Writing,7,4,High
U203,19,Female,Teacher,5,Writing,5,4,High
U204,24,Male,Researcher,7,Learning,8,4,High
U205,39,Male,Engineer,4,Learning,6,5,Medium
U206,25,Other,Teacher,4,Writing,6,5,Medium
U207,27,Male,Student,2,Writing,2,3,Low
U208,27,Other,Student,2,Research,3,5,Low
U209,46,Other,Engineer,5,Coding,6,3,Medium
U210,48,Female,Engineer,5,Learning,6,5,High
U211,22,Female,Researcher,7,Learning,7,4,High
U212,36,Male,Student,4,Research,6,5,Medium
U213,20,Female,Teacher,4,Research,6,3,Medium
U214,21,Female,Student,3,Learning,5,5,Medium
U215,29,Male,Teacher,5,Research,7,5,High
U216,28,Female,Engineer,5,Research,6,4,High
U217,21,Other,Engineer,3,Writing,3,5,Medium
U218,42,Female,Engineer,7,Coding,8,3,Medium
U219,27,Female,Engineer,6,Coding,8,5,High
U220,23,Female,Researcher,6,Coding,8,5,High
U221,23,Other,Researcher,6,Learning,7,4,High
U222,29,Male,Engineer,6,Coding,6,3,Medium
U223,27,Male,Engineer,3,Learning,5,4,Medium
U224,26,Other,Researcher,5,Coding,5,5,High
U225,28,Other,Researcher,4,Research,5,5,Medium
U226,33,Female,Engineer,6,Coding,8,3,Medium
U227,37,Female,Teacher,4,Research,5,4,Medium
U228,42,Other,Researcher,5,Coding,7,3,Medium
U229,34,Male,Researcher,6,Learning,8,5,High
U230,25,Female,Student,2,Writing,3,5,Low
U231,27,Female,Student,2,Research,3,3,Low
U232,44,Male,Researcher,6,Coding,7,3,Medium
U233,41,Male,Student,3,Learning,5,5,Medium
U234,39,Male,Teacher,2,Writing,3,5,Low
U235,26,Other,Researcher,7,Learning,7,3,Medium
U236,34,Male,Teacher,5,Learning,6,3,Medium
U237,37,Male,Student,2,Research,4,5,Low
U238,47,Male,Student,4,Learning,6,5,Medium
U239,33,Other,Teacher,4,Research,4,5,Medium
U240,40,Male,Researcher,5,Learning,7,4,High
U241,22,Other,Student,4,Research,4,5,Medium
U242,42,Female,Engineer,3,Writing,3,4,Medium
U243,33,Other,Student,3,Coding,3,4,Medium
U244,39,Other,Teacher,5,Research,7,3,Medium
U245,26,Male,Researcher,4,Writing,4,3,Medium
U246,30,Male,Engineer,5,Research,7,4,High
U247,34,Male,Teacher,4,Writing,4,5,Medium
U248,39,Female,Student,3,Research,4,5,Medium
U249,46,Female,Engineer,4,Research,6,4,Medium
U250,41,Other,Engineer,3,Research,3,4,Medium
U251,29,Other,Engineer,5,Learning,5,4,High
U252,36,Female,Researcher,7,Coding,9,4,High
U253,40,Female,Student,3,Research,4,5,Medium
U254,21,Male,Researcher,6,Coding,6,3,Medium
U255,46,Male,Teacher,2,Coding,4,4,Low
U256,41,Female,Student,2,Research,3,4,Low
U257,46,Male,Teacher,4,Research,5,5,Medium
U258,35,Male,Student,1,Coding,2,5,Low
U259,42,Other,Student,3,Writing,5,4,Medium
U260,31,Other,Engineer,6,Coding,6,3,Medium
U261,22,Female,Teacher,5,Learning,7,4,High
U262,40,Other,Student,3,Writing,3,5,Medium
U263,29,Female,Teacher,2,Coding,2,3,Low
U264,49,Male,Engineer,7,Writing,8,5,High
U265,26,Other,Student,1,Writing,2,5,Low
U266,48,Other,Researcher,7,Learning,7,4,High
U267,22,Female,Researcher,6,Coding,8,5,High
U268,29,Male,Researcher,4,Learning,6,3,Medium
U269,37,Male,Teacher,4,Coding,5,5,Medium
U270,36,Male,Engineer,4,Writing,4,5,Medium
U271,37,Other,Student,2,Coding,2,5,Low
U272,39,Other,Student,1,Learning,1,5,Low
U273,34,Other,Teacher,5,Learning,6,5,High
U274,36,Other,Engineer,6,Coding,8,4,High
U275,37,Female,Student,1,Coding,2,4,Low
U276,48,Female,Teacher,4,Coding,5,5,Medium
U277,38,Other,Engineer,6,Coding,7,5,High
U278,24,Female,Teacher,5,Learning,6,4,High
U279,33,Male,Student,1,Writing,2,5,Low
U280,44,Male,Teacher,4,Writing,4,3,Medium
U281,49,Other,Researcher,7,Writing,8,3,Medium
U282,23,Female,Researcher,5,Coding,7,4,High
U283,21,Male,Engineer,6,Research,7,5,High
U284,18,Male,Researcher,5,Writing,7,4,High
U285,43,Female,Student,4,Learning,6,5,Medium
U286,30,Female,Engineer,3,Research,5,4,Medium
U287,35,Other,Student,2,Learning,3,4,Low
U288,39,Other,Engineer,4,Coding,6,5,Medium
U289,43,Other,Student,1,Learning,1,5,Low
U290,39,Female,Researcher,5,Coding,6,5,High
U291,38,Male,Researcher,6,Writing,8,5,High
U292,49,Other,Engineer,6,Learning,7,4,High
U293,25,Female,Engineer,3,Research,4,5,Medium
U294,32,Other,Student,4,Coding,6,5,Medium
U295,42,Male,Teacher,2,Learning,2,3,Low
U296,46,Female,Researcher,5,Research,7,3,Medium
U297,44,Other,Researcher,4,Coding,6,3,Medium
U298,38,Other,Researcher,7,Writing,7,4,High
U299,39,Other,Engineer,5,Research,5,3,Medium
U300,35,Other,Engineer,4,Writing,5,5,Medium
